Sale_Price,Gr_Liv_Area,Year_Built,Total_Bsmt_SF,Garage_Area,Lot_Area,Overall_Qual,Overall_Cond,Central_Air,Full_Bath,Bedroom_AbvGr
139000,1652,1915,686,416,10800,Average,Above_Average,1,2,4
240000,2268,1890,346,624,9000,Very_Good,Excellent,1,3,3
76500,2256,1910,840,0,9045,Average,Fair,0,2,4
149700,1236,1957,912,923,7407,Above_Average,Good,1,1,2
125500,1363,1910,622,528,7740,Below_Average,Good,1,1,3
122500,2290,1885,777,560,11340,Below_Average,Above_Average,1,2,4
140750,1470,1922,738,624,10560,Above_Average,Good,1,1,2
128500,1612,1950,988,363,5830,Average,Above_Average,1,1,3
209500,2068,1922,1108,315,7793,Good,Good,0,1,3
87000,765,1925,765,200,5000,Below_Average,Good,0,1,2
134000,1132,1939,608,240,6000,Above_Average,Good,1,1,2
128000,1196,1940,572,576,6000,Above_Average,Above_Average,1,1,3
132000,1453,1942,835,240,6360,Average,Above_Average,1,1,3
139900,1416,1948,780,312,6000,Above_Average,Good,1,1,3
123900,1040,1936,528,624,6240,Average,Good,1,1,2
138400,1536,1930,928,480,6240,Average,Average,1,2,4
109500,1068,1923,1124,288,6120,Above_Average,Average,1,1,2
140000,1710,1921,576,480,10300,Good,Above_Average,1,2,3
149500,1962,1915,888,572,8094,Below_Average,Average,1,1,4
159900,1560,1912,780,0,12900,Above_Average,Very_Good,1,1,3
122000,1324,1920,662,180,3068,Above_Average,Very_Good,1,1,3
110000,816,1963,816,516,8472,Average,Average,0,1,2
55000,1092,1930,0,0,5600,Below_Average,Average,0,2,3
140000,1812,1900,360,672,7630,Average,Excellent,1,2,4
244400,2403,1940,1032,349,24090,Good,Good,1,2,4
173000,1675,1959,1422,365,15263,Average,Average,1,2,3
107500,1224,1917,689,180,10632,Average,Fair,0,1,3
100000,1392,1915,1212,0,9900,Average,Below_Average,0,1,3
95000,919,1940,600,231,6001,Above_Average,Average,0,1,3
93369,1884,1907,707,0,6449,Below_Average,Very_Poor,0,1,4
114900,1680,1910,856,450,6048,Average,Good,1,2,2
94000,1020,1875,780,0,6342,Average,Very_Good,0,1,2
136000,1832,1967,1832,0,10773,Below_Average,Fair,0,2,4
136500,1768,1968,1768,0,10778,Below_Average,Average,0,2,4
131500,1039,1965,1039,504,11625,Average,Below_Average,1,1,3
121500,1392,1957,1392,528,11341,Average,Above_Average,1,1,3
125000,912,1967,912,336,8521,Average,Average,1,1,3
154000,1060,1968,1060,270,8246,Average,Very_Good,1,1,3
137900,892,1966,864,416,7800,Average,Good,1,1,3
158000,1352,1969,663,299,9364,Above_Average,Good,1,1,4
137250,864,1968,864,280,7832,Average,Average,1,1,2
160250,1373,1978,1319,591,7424,Average,Average,1,1,3
163000,1440,1968,720,480,11227,Average,Average,1,1,4
158900,1386,1978,672,440,11616,Above_Average,Average,1,2,3
328000,2260,1996,1306,533,14000,Good,Average,1,2,3
270000,1483,1977,1420,690,20062,Good,Good,1,1,1
85000,756,1927,660,440,9259,Below_Average,Below_Average,0,1,2
128000,1067,1950,1067,436,9600,Below_Average,Good,1,2,2
260000,1524,1979,1332,586,23595,Good,Above_Average,1,0,0
230000,1981,1978,1117,522,17082,Above_Average,Average,1,2,4
124000,1610,1938,972,480,18600,Fair,Below_Average,1,2,4
83000,835,1920,458,366,10625,Average,Average,0,1,2
144500,1074,1950,663,467,11479,Above_Average,Good,1,1,3
129000,1144,1956,1144,596,9571,Average,Above_Average,1,1,3
127000,1531,1947,756,209,9350,Below_Average,Above_Average,1,1,3
128000,1172,1954,1172,366,9525,Average,Good,1,1,3
186000,1212,2009,1212,460,10420,Above_Average,Average,1,2,3
308030,1508,2009,1508,572,17485,Good,Average,1,1,1
114000,1298,1964,1250,504,11200,Average,Fair,1,2,3
84900,930,1946,0,308,11100,Below_Average,Good,1,1,2
178000,1732,1985,741,476,9206,Above_Average,Average,1,2,3
270000,1433,1987,1433,528,11980,Good,Average,1,1,1
218000,1802,1993,946,1017,12361,Above_Average,Good,1,2,3
236000,1949,1993,1050,574,9938,Good,Average,1,2,3
147000,996,1992,936,564,9069,Above_Average,Above_Average,1,1,2
245350,1694,2008,1694,776,10475,Very_Good,Average,1,2,3
206000,1208,2006,1187,632,6762,Good,Average,1,2,2
198900,1226,2009,1226,740,10402,Good,Average,1,2,3
187000,1222,2010,1222,615,7360,Good,Average,1,2,2
320000,3222,1990,1673,594,12376,Good,Average,1,3,5
138500,1445,1900,676,484,14235,Above_Average,Very_Good,1,2,3
155000,1052,1971,1010,440,8816,Above_Average,Good,1,1,3
159000,965,1996,870,580,11105,Average,Average,1,1,2
191000,1692,1997,878,513,9337,Good,Average,1,2,3
200500,1682,1998,804,523,8750,Above_Average,Average,1,2,3
150000,1026,1977,1026,308,15240,Average,Very_Good,1,1,3
161750,1392,1977,689,299,10900,Above_Average,Good,1,1,3
128200,894,1976,894,308,10650,Average,Above_Average,1,1,3
127000,876,1972,876,484,7480,Average,Above_Average,1,1,3
318000,1978,2003,1978,850,10389,Very_Good,Average,1,2,3
272000,1601,2001,1581,670,11423,Very_Good,Average,1,2,3
237000,1829,2003,941,613,9548,Good,Above_Average,1,2,3
240000,2098,1997,1040,621,9375,Good,Average,1,2,4
224900,1661,1998,1649,598,12137,Good,Average,1,2,3
143750,848,2003,848,420,4435,Above_Average,Average,1,1,1
143000,848,2004,848,420,4426,Above_Average,Average,1,1,1
232000,1668,2003,1657,502,10635,Very_Good,Average,1,2,3
213000,1484,2004,1473,606,8400,Good,Average,1,2,3
185500,1414,2004,1414,494,8773,Good,Average,1,2,3
84900,640,1945,0,240,8777,Fair,Above_Average,0,1,2
155891,992,1954,381,319,8842,Average,Above_Average,1,1,3
100000,1664,1965,0,0,9825,Average,Average,0,2,4
144000,1196,1968,1196,336,10044,Average,Above_Average,1,1,3
64000,1120,1948,744,480,11792,Below_Average,Average,0,1,2
125200,1096,1975,1008,352,6305,Above_Average,Above_Average,1,1,3
107000,1117,1976,1029,672,7819,Above_Average,Average,1,1,3
90000,960,1958,960,0,6410,Below_Average,Average,1,1,3
140000,1121,2003,1121,440,8546,Below_Average,Average,1,2,2
113000,1487,1945,735,220,8741,Above_Average,Below_Average,1,1,3
80000,924,1941,672,280,12180,Below_Average,Below_Average,0,1,2
144500,1526,1957,1216,364,8562,Average,Above_Average,1,1,4
104000,1296,1924,1107,260,4853,Average,Above_Average,0,2,2
128000,1647,1915,806,216,6858,Above_Average,Below_Average,0,1,4
58500,864,1914,864,200,8212,Fair,Fair,0,1,2
127000,1691,1924,1026,308,5000,Average,Above_Average,1,2,3
126000,856,1939,856,399,7890,Above_Average,Above_Average,1,1,2
160000,2650,1967,0,0,7200,Below_Average,Above_Average,1,3,6
100000,1666,1931,894,0,9839,Average,Poor,1,1,3
169000,2447,1919,804,336,9638,Above_Average,Good,1,2,4
257500,2133,1941,1528,312,10452,Good,Above_Average,1,1,4
215000,2177,1950,1032,484,15600,Average,Above_Average,1,2,5
266500,2340,1941,1152,252,9042,Good,Excellent,1,2,4
335000,1902,1959,1902,567,17500,Good,Very_Good,1,2,3
203135,1652,1994,423,473,19645,Good,Above_Average,1,2,3
185000,1034,1989,982,598,3907,Very_Good,Above_Average,1,1,1
162500,1191,1989,1191,531,3907,Very_Good,Average,1,2,2
289000,1801,1959,1501,484,15602,Good,Very_Good,1,2,1
125500,1154,1922,796,240,5436,Below_Average,Very_Good,1,1,3
82000,540,1941,480,200,8154,Poor,Average,1,1,1
110000,1107,1921,629,625,9140,Above_Average,Average,1,1,2
68400,1128,1920,698,528,7500,Below_Average,Below_Average,1,1,2
102776,1178,1900,859,384,8712,Below_Average,Good,1,1,2
55993,1044,1952,540,504,8712,Average,Average,0,1,2
50138,952,1896,756,330,8712,Below_Average,Good,1,1,3
246000,1646,2004,1594,525,3811,Very_Good,Average,1,2,2
254900,1916,1998,1049,741,11050,Very_Good,Average,1,2,3
190000,1285,1977,1243,473,9620,Above_Average,Good,1,2,3
201000,1560,2003,1560,573,9196,Good,Average,1,2,3
169900,1034,1976,1012,888,12328,Above_Average,Average,1,1,3
170000,2048,1976,1958,776,12760,Above_Average,Average,1,3,5
160000,1687,1948,747,572,57200,Average,Average,1,1,3
220000,1346,2008,1336,660,11896,Good,Average,1,2,3
179781,1214,2009,1214,520,9803,Good,Average,1,2,2
174000,1444,2006,384,400,9802,Average,Average,1,2,3
269500,1968,2009,774,680,12003,Very_Good,Average,1,2,4
214900,1894,2002,817,510,11316,Good,Average,1,2,4
202900,1908,2002,967,431,14191,Very_Good,Average,1,2,4
378500,2018,2008,2002,746,13214,Excellent,Average,1,2,3
169000,1264,1965,1068,528,15300,Average,Average,1,1,2
173500,1430,2004,1430,624,10114,Average,Average,1,2,3
139000,1824,1971,912,0,9400,Above_Average,Average,1,2,4
166500,1344,1999,1344,686,11875,Average,Average,1,2,3
83500,1092,1973,546,286,1974,Below_Average,Average,1,1,3
119500,945,1973,945,253,2394,Average,Above_Average,1,1,2
85000,1112,1976,536,336,2592,Average,Fair,1,1,3
76000,1092,1970,546,0,1476,Below_Average,Good,1,1,3
75500,630,1972,630,0,1491,Below_Average,Above_Average,1,1,1
88250,1092,1970,546,0,1900,Below_Average,Below_Average,1,1,3
85500,1092,1972,546,286,1890,Below_Average,Above_Average,1,1,3
130000,874,1971,864,352,6953,Average,Good,1,1,3
157900,1188,1962,1188,312,26142,Average,Good,1,1,3
149900,833,1984,833,495,12887,Average,Good,1,1,2
159000,2432,1985,1216,616,7700,Average,Poor,1,4,4
136000,1274,1991,624,576,10475,Average,Average,1,1,3
161000,1479,1969,864,275,10544,Average,Average,1,2,5
285000,1803,1994,1679,482,9892,Very_Good,Average,1,2,3
231000,1797,1993,1152,616,12961,Above_Average,Average,1,2,3
124500,882,1956,882,502,13008,Above_Average,Average,1,1,2
157000,1434,1974,1434,528,10200,Above_Average,Average,1,2,4
345000,2704,1972,1952,538,13860,Very_Good,Good,1,2,4
189500,1608,1997,945,470,10179,Above_Average,Average,1,2,3
270000,2283,2003,1008,632,11792,Very_Good,Average,1,2,4
189000,1628,1996,384,390,8400,Good,Average,1,2,3
377500,1746,2006,1746,758,14892,Excellent,Average,1,2,3
168500,1474,1995,384,400,8530,Good,Average,1,2,3
375000,2522,2004,2208,564,7296,Very_Good,Average,1,2,1
278000,1659,2000,1501,499,5664,Very_Good,Average,1,2,2
240000,1478,1998,1418,495,7380,Very_Good,Average,1,2,2
239500,1734,1995,1587,528,8013,Very_Good,Average,1,2,2
177500,1382,1998,384,396,8923,Good,Average,1,2,3
185000,1718,1998,832,427,10141,Good,Average,1,2,3
191000,1636,1998,952,440,7500,Above_Average,Average,1,2,3
178000,1571,1993,799,380,7837,Above_Average,Good,1,2,3
185000,1470,1993,680,420,9765,Above_Average,Very_Good,1,2,3
181316,1516,1994,707,409,8803,Above_Average,Average,1,2,3
166000,1190,1993,1181,430,7250,Above_Average,Average,1,2,3
178000,1593,1992,808,389,9636,Above_Average,Average,1,2,3
174000,1481,1994,702,343,8125,Above_Average,Average,1,2,3
173000,1167,1992,1158,400,9248,Above_Average,Above_Average,1,2,3
225000,1983,1999,978,490,10762,Good,Average,1,2,3
180500,1442,1990,1424,500,11851,Good,Average,1,2,3
187500,1360,1984,1220,565,5814,Very_Good,Average,1,1,1
501837,2234,2008,2216,1166,17423,Excellent,Average,1,2,1
372500,2046,2008,2046,834,11844,Very_Good,Average,1,2,3
260000,1530,2005,1530,430,16158,Good,Average,1,2,3
185000,1934,1977,1122,567,11900,Average,Above_Average,1,2,3
260000,2353,1980,845,484,13005,Good,Good,1,2,4
181000,1586,1979,1362,435,17043,Above_Average,Average,1,2,3
82500,1411,1977,1386,544,11900,Good,Average,1,2,3
215000,1602,1977,1602,529,16635,Above_Average,Good,1,2,3
154000,2050,1978,832,529,13250,Good,Above_Average,1,2,4
200000,1671,1978,1427,484,10928,Above_Average,Above_Average,1,2,3
249000,2673,1980,1043,441,12388,Good,Good,1,2,4
187500,1472,1980,1372,588,14115,Good,Average,1,2,3
184000,1707,1978,1140,479,11088,Above_Average,Average,1,2,3
278000,2524,1981,2524,542,9600,Very_Good,Average,1,2,4
157000,1601,1978,1271,478,11880,Good,Average,1,2,3
152000,1370,1976,1090,479,10400,Good,Average,1,2,3
197500,1868,1976,780,484,10304,Average,Good,1,2,4
240900,1884,2003,926,581,7000,Good,Average,1,2,3
263435,1935,2009,832,552,8004,Very_Good,Average,1,2,3
220000,1874,2000,1058,588,7500,Very_Good,Average,1,2,3
235000,1811,2002,972,565,8470,Very_Good,Average,1,2,3
213000,1621,1975,1621,478,9373,Average,Good,1,2,3
167900,1116,1974,1116,528,10140,Above_Average,Above_Average,1,2,3
158000,1193,1975,1176,506,11050,Good,Average,1,2,3
165000,1350,1974,1064,478,10140,Above_Average,Average,1,2,3
158000,2119,1972,689,583,10448,Above_Average,Above_Average,1,2,3
136000,1792,1974,896,0,9000,Average,Average,1,2,4
148500,1002,1970,1002,902,8750,Average,Above_Average,1,1,3
156000,1026,1969,1026,440,7930,Above_Average,Very_Good,1,1,3
128000,1180,1970,1180,477,7830,Average,Average,1,1,2
143000,1050,1971,1043,336,8510,Average,Good,1,1,3
76500,864,1970,864,576,7038,Below_Average,Above_Average,1,1,3
120500,864,1970,864,660,6960,Below_Average,Above_Average,1,1,3
124500,864,1970,864,463,8120,Below_Average,Good,1,1,3
97000,864,1971,864,576,10500,Below_Average,Above_Average,1,1,2
130000,864,1971,864,576,9000,Below_Average,Good,1,1,3
111000,987,1973,483,264,1680,Above_Average,Average,1,1,2
125000,1365,1970,765,440,2368,Average,Above_Average,1,1,3
112000,1302,1971,630,280,1680,Average,Average,1,2,3
97000,987,1972,483,288,1680,Above_Average,Above_Average,1,1,2
118000,987,1972,483,264,1680,Above_Average,Very_Good,1,1,2
119500,1302,1972,630,264,1680,Average,Good,1,2,3
143750,958,1976,958,440,4928,Above_Average,Above_Average,1,2,2
146000,1548,1976,804,440,2308,Above_Average,Average,1,2,3
148500,1456,1976,855,440,2280,Above_Average,Above_Average,1,2,3
123000,1055,1975,1057,440,2280,Good,Average,1,2,2
147000,1322,1974,855,440,2308,Above_Average,Average,1,2,3
137900,1456,1977,855,440,2349,Above_Average,Average,1,2,3
147000,1548,1978,804,440,2364,Above_Average,Average,1,2,3
148500,1441,1978,855,440,2289,Above_Average,Above_Average,1,2,3
138000,1456,1978,855,440,2364,Above_Average,Average,1,2,3
128500,836,1976,836,345,2104,Good,Above_Average,1,1,2
100000,892,1967,892,288,7150,Average,Average,1,1,3
148800,1120,1966,864,656,10710,Average,Good,1,1,3
337500,1718,2006,1700,786,12456,Very_Excellent,Average,1,2,3
462000,2772,2007,1776,754,14257,Excellent,Average,1,3,4
485000,3140,2008,1926,820,13518,Excellent,Average,1,3,4
555000,2402,2008,3094,672,15431,Very_Excellent,Average,1,2,2
325000,1652,2006,1652,840,13173,Excellent,Average,1,2,2
256300,1600,2007,1566,890,14230,Very_Good,Average,1,2,3
253293,2042,2008,2042,1390,12704,Very_Good,Average,1,2,3
398800,2690,2009,1365,864,12350,Excellent,Average,1,2,3
335000,2184,2008,1104,836,11308,Excellent,Average,1,2,3
404000,2020,2008,2020,896,12350,Excellent,Average,1,2,3
402861,2020,2009,2006,900,12220,Very_Excellent,Average,1,2,3
451950,2296,2008,1722,842,13478,Very_Excellent,Average,1,2,3
610000,2674,2007,2630,762,13693,Very_Excellent,Average,1,2,2
582933,2822,2008,1734,1020,13891,Excellent,Average,1,3,4
360000,1736,2008,1736,834,11578,Excellent,Average,1,2,3
296000,1782,2004,1782,932,16870,Very_Good,Average,1,2,3
409900,2520,2007,1508,640,23303,Very_Good,Average,1,2,5
255500,1717,2006,1709,908,11146,Very_Good,Average,1,2,3
335000,1743,2008,1739,927,10367,Excellent,Average,1,2,3
274900,1713,2004,1713,856,9591,Very_Good,Average,1,2,3
300000,1531,2006,1504,700,10872,Excellent,Average,1,2,2
324000,1808,2008,1774,850,13514,Excellent,Average,1,2,3
350000,2224,2004,1462,738,8834,Excellent,Average,1,2,4
280000,1836,2004,1836,862,11362,Very_Good,Average,1,2,3
284000,1629,2003,3206,880,10655,Very_Good,Average,1,2,3
269500,1760,2003,1760,583,12878,Good,Average,1,2,3
233170,1502,2009,1502,644,9541,Good,Average,1,2,3
386250,2392,2003,2392,968,13472,Very_Excellent,Average,1,2,3
445000,2452,2003,2452,886,15274,Excellent,Average,1,2,3
