X1,X2,classes
5.748565,3.993587,3
5.574166,4.662093,2
4.510054,5.033852,2
5.318405,4.691960,2
6.271296,5.122589,3
5.496893,4.832744,2
3.391199,3.595832,1
6.636524,5.208994,3
4.779306,5.501451,2
7.315581,5.610053,3
4.923262,5.015965,2
6.790556,5.206749,3
5.149903,4.812276,2
4.986742,4.769143,2
4.293698,5.832404,2
5.894624,4.464379,3
5.420916,4.690519,2
5.791660,4.133969,2
3.241775,3.208606,1
5.112523,5.425142,2
6.257175,4.792204,3
3.516314,3.402668,1
4.902417,4.907360,2
3.468082,3.144617,1
5.340693,5.052152,2
2.956207,3.099103,1
4.858098,5.598094,2
4.155371,5.251142,2
6.457485,4.881986,3
4.683425,5.445791,2
5.532839,4.600814,2
4.401831,5.310790,2
4.011667,5.691998,2
6.246929,4.890643,3
3.507154,3.466361,1
5.309407,4.339013,2
5.152003,5.076335,2
6.143625,4.400852,3
6.202688,4.385396,3
5.188393,5.058832,2
4.370858,3.877258,1
3.483571,3.296026,1
6.438954,4.776612,3
3.950716,4.024178,1
6.832478,5.179158,3
4.871706,5.195586,2
4.510918,4.568813,1
4.981420,4.966199,2
3.956589,4.147223,1
5.527042,4.613947,2
6.204414,4.668753,3
6.146351,4.741829,3
3.812166,4.159703,1
7.304733,5.715815,3
6.863007,5.572902,3
5.279048,4.855536,1
4.605168,4.455740,1
7.287532,5.532289,3
4.033030,3.786859,1
3.944033,4.288629,1
5.950760,4.609036,3
4.596748,4.094239,1
6.768672,4.946235,3
4.087917,5.408592,2
4.990730,5.272779,2
4.813373,5.423034,2
5.466290,4.488039,2
4.701878,5.306466,2
5.035327,5.047134,2
7.525588,5.610324,3
4.959362,5.184626,2
5.935158,3.905336,2
4.134486,5.850467,2
4.582912,5.458528,2
5.233777,5.064774,2
4.434738,4.753735,1
5.080699,4.423179,2
6.650732,5.123512,3
4.357459,4.156688,1
4.823950,5.089065,2
5.333276,4.540762,2
6.440529,4.532392,3
6.349551,4.934840,3
4.998715,5.166138,2
4.969058,4.749405,2
4.488127,4.185735,1
4.957527,4.846626,2
3.175500,3.220824,1
5.355190,4.612133,2
5.976612,4.526835,3
4.023371,5.643272,2
5.338403,4.964988,2
3.929898,3.690899,1
6.539964,4.330880,3
4.747594,4.908580,2
4.648666,4.893394,2
6.453501,5.042546,3
5.021726,5.179846,2
5.736729,4.538840,3
3.734201,3.495703,1
4.449958,5.826486,2
4.819635,5.091858,2
4.385148,5.844558,2
5.044544,5.093519,2
5.774736,4.489936,2
5.537313,4.698127,2
5.123177,4.918821,2
4.051605,3.875661,1
4.622021,5.057016,2
5.862262,4.401139,3
3.923957,3.918666,1
4.954580,4.748543,2
5.887087,4.178426,2
4.772672,5.334105,2
6.519863,4.759012,3
5.280921,4.700892,2
6.333217,4.535011,3
5.677689,4.207308,2
5.076006,5.413530,2
4.107422,3.711499,1
4.851169,5.020747,2
5.278101,4.459637,2
3.963149,4.063841,1
4.447586,5.669097,2
5.053555,4.755356,2
4.553181,5.369876,2
5.003948,5.043846,2
4.040723,5.564197,2
5.485052,4.481904,2
6.560278,5.041036,3
5.082964,4.780348,2
4.888437,5.379735,2
4.587033,5.325528,2
4.888867,5.182291,2
4.273375,3.840703,1
4.625814,5.129674,2
6.442073,4.989419,3
4.264134,4.114331,1
6.247365,4.412296,3
5.256988,4.691842,2
4.823268,4.962993,2
4.966216,4.992855,2
6.491123,4.781014,3
6.564396,5.185856,3
4.037659,5.538742,2
5.316798,4.611523,2
3.435057,3.781977,1
4.604762,5.213340,2
6.067764,4.634668,3
3.845349,4.104582,1
6.285248,4.860199,3
5.374392,4.953453,2
6.443990,4.802737,3
4.470780,4.320174,1
5.348782,4.983737,2
2.709043,2.637821,1
4.213377,5.811530,2
3.342604,3.461232,1
7.681011,5.773307,3
4.266376,6.132197,2
5.144747,4.995828,2
4.590838,5.553675,2
4.905115,5.027271,2
4.870631,5.026176,2
5.348238,4.819881,2
5.590960,4.737915,2
5.203776,4.761817,2
7.281753,5.772950,3
6.548124,4.684119,3
7.117089,5.546947,3
5.394303,4.940014,2
5.381218,4.219766,2
3.527499,3.809195,1
6.796321,5.439739,3
3.810040,4.073799,1
5.903560,4.484264,2
4.725227,5.146634,2
5.318072,5.048224,2
3.609384,3.463592,1
4.292737,5.411622,2
5.407035,4.648656,2
5.125068,5.759194,2
5.869600,4.574655,2
7.598623,5.695210,3
4.735516,5.250732,2
5.342705,5.087546,2
6.260412,4.643511,3
6.494422,4.941305,3
6.452539,4.872527,3
5.299815,5.067018,2
4.697098,5.180940,2
5.657426,4.257297,2
4.094164,4.199782,1
6.255824,5.013079,3
4.662980,5.352248,2
4.897080,5.168057,1
6.336027,4.675479,3
4.389625,5.828662,2
4.931281,5.080463,2
6.220948,5.037499,3
6.776423,5.257164,3
6.957079,5.531802,3
4.882780,5.135264,2
6.538879,5.159046,3
6.097824,4.697831,3
5.227501,4.634307,2
4.462725,4.238045,1
5.162502,4.617277,2
6.680835,4.668723,3
5.582056,3.756940,2
6.201094,4.855870,3
6.875979,5.031270,3
6.414098,4.653496,3
5.340063,4.611842,2
5.050326,5.445123,2
4.720304,5.289244,2
5.268683,4.653237,2
5.230580,5.004990,2
6.776232,5.103491,3
5.896081,3.897507,2
5.782908,4.135766,2
6.226628,4.936072,3
3.425582,3.584516,1
4.308786,5.556947,2
5.325022,4.704540,2
6.517806,5.658584,3
4.095836,4.179297,1
4.826838,4.526992,1
5.847625,4.228261,2
6.264901,4.672849,3
5.546401,3.700918,3
5.056841,4.967475,1
4.825069,4.770859,2
4.365218,5.473289,2
4.776199,5.169078,2
4.884760,5.505603,2
7.061028,5.400014,3
4.616105,4.805017,1
6.831611,5.457836,3
4.298706,5.772966,2
4.920317,5.362514,2
